1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
222	-0.606550	312.232773	0.011211	2.4
223	-0.429885	311.654207	0.007547	2.4
224	-0.612587	311.078491	0.008204	2.3
225	-0.167385	310.505602	0.004746	5.5
226	-0.745872	309.935518	0.015428	3.2
227	-0.565641	309.368217	0.010786	3.4
228	-0.632632	308.803676	0.006419	2.7
229	-0.429669	308.241874	0.006745	2.5
230	-0.973213	307.682789	0.026288	2.5
231	-0.507393	307.126400	0.005643	2.5
232	-0.438916	306.572687	0.017017	2.5
233	-0.847841	306.021627	0.013034	2.4
234	-0.720895	305.473201	0.010292	2.4
235	-0.577658	304.927388	0.008318	2.3
236	-0.927000	304.384168	0.008699	2.3
237	-0.519438	303.843521	0.011259	2.3
238	-0.710235	303.305427	0.012652	2.4
239	-0.593192	302.769867	0.026113	2.4
240	-0.748289	302.236821	0.027330	2.4
241	-0.766170	301.706270	0.011177	2.4
242	-0.770081	301.178196	0.026231	2.3
243	-1.148985	300.652580	0.032356	2.3
244	-0.874291	300.129402	0.024048	2.3
245	-0.641087	299.608645	0.006765	2.3
246	-0.961329	299.090291	0.030314	2.4
247	-0.546679	298.574321	0.006753	2.4
248	-0.493477	298.060718	0.010699	2.4
249	-0.544659	297.549465	0.005555	2.3
250	-1.056058	297.040543	0.025249	2.4
251	-0.582088	296.533936	0.009089	2.4
252	-0.900828	296.029626	0.009197	2.4
253	-0.676912	295.527597	0.018849	2.4
254	-0.546414	295.027832	0.013291	2.5
255	-0.473206	294.530315	0.010867	2.4
256	-0.791879	294.035028	0.006571	2.3
257	-0.563892	293.541956	0.007427	2.4
258	-0.310710	293.051083	0.003589	2.4
259	-0.642365	292.562393	0.006038	2.4
260	-0.629145	292.075870	0.031804	2.5
261	-0.670374	291.591498	0.016152	2.4
262	-0.785022	291.109263	0.008836	2.4
263	-0.604528	290.629149	0.012966	2.4
264	-0.912465	290.151140	0.026150	2.4
265	-0.210663	289.675222	0.005134	2.3
266	-0.670443	289.201380	0.026422	2.4
267	-0.504922	288.729600	0.006431	2.8
268	-0.505711	288.259866	0.006437	2.5
269	-0.568122	287.792165	0.012005	2.4
270	-1.097219	287.326481	0.020789	2.4
271	-1.025993	286.862802	0.033475	2.4
272	-0.610654	286.401113	0.011874	2.4
273	-1.048070	285.941400	0.026106	2.4
274	-0.753189	285.483649	0.010632	2.5
275	-0.820445	285.027847	0.033439	2.4
276	-0.497281	284.573981	0.006486	2.4
277	-0.756201	284.122037	0.022294	2.4
278	-0.838910	283.672002	0.027944	2.4
279	-0.676083	283.223863	0.028611	2.3
280	-0.930974	282.777607	0.015817	2.4
281	-0.926809	282.333221	0.030477	2.4
282	-0.684284	281.890692	0.016948	2.4
283	-0.812923	281.450008	0.028360	2.3
284	-0.758811	281.011157	0.027972	2.3
285	-1.067043	280.574125	0.020694	2.4
286	-0.851161	280.138901	0.023878	2.4
287	-0.746459	279.705473	0.011089	2.4
288	-1.071117	279.273829	0.036939	2.4
289	-0.619391	278.843956	0.012042	2.7
290	-0.562948	278.415844	0.005143	2.4
291	-0.900710	277.989479	0.012938	2.4
292	-0.858591	277.564851	0.011607	2.4
293	-0.519522	277.141949	0.005627	2.4
294	-0.465452	276.720761	0.004939	2.3
295	-0.070467	276.301275	0.002120	2.4
296	-0.865392	275.883480	0.012696	2.4
297	-0.910517	275.467366	0.023904	2.3
298	-0.966541	275.052922	0.033343	2.3
299	-0.719068	274.640136	0.009534	2.3
300	-0.669488	274.228998	0.028117	2.3
301	-0.757767	273.819497	0.008469	2.4
302	-0.879522	273.411623	0.030958	2.5
303	-0.741931	273.005365	0.014508	2.4
304	-0.697250	272.600712	0.026235	2.4
305	-0.575100	272.197655	0.010866	2.4
306	-0.999232	271.796184	0.008585	2.7
307	-0.797479	271.396287	0.023552	2.8
308	-0.747203	270.997956	0.009852	2.9
309	-0.213693	270.601180	0.007907	3.2
310	-0.928234	270.205949	0.037976	2.8
311	-0.751152	269.812254	0.016300	2.6
312	-0.529081	269.420085	0.007800	2.5
313	-0.615622	269.029432	0.014204	2.4
314	-0.646640	268.640287	0.010968	2.5
315	-0.995945	268.252638	0.021666	2.4
316	-0.004728	267.866478	0.000042	2.3
317	-0.477175	267.481796	0.008020	2.3
318	-0.622405	267.098584	0.008339	2.4
319	-0.582975	266.716833	0.009621	2.3
320	-0.717561	266.336533	0.012745	2.4
321	-0.695744	265.957676	0.007542	2.4
322	-0.697650	265.580253	0.008205	2.3
323	-0.753982	265.204254	0.021582	2.4
324	-0.593204	264.829672	0.003877	2.3
325	-1.145766	264.456497	0.034241	2.4
326	-1.017721	264.084721	0.036677	2.3
327	-1.129181	263.714335	0.036116	2.4
328	-0.000067	263.345332	0.000004	2.5
329	-0.681903	262.977702	0.032975	2.4
330	-0.698242	262.611438	0.007288	2.4
331	-0.897519	262.246531	0.025784	2.4
332	-0.810392	261.882973	0.025650	2.4
333	-0.205530	261.520756	0.007967	2.4
334	-0.951900	261.159871	0.024537	2.4
335	-0.798815	260.800312	0.009421	2.4
336	-0.692015	260.442070	0.010273	2.4
337	-0.923471	260.085137	0.038009	2.6
338	-0.588589	259.729505	0.012154	2.4
339	-0.446816	259.375167	0.004239	2.3
340	-0.736439	259.022116	0.020326	2.3
341	-0.400470	258.670343	0.006844	2.3
342	-0.117702	258.319841	0.002869	2.4
343	-1.019011	257.970602	0.022898	2.4
344	-0.465960	257.622620	0.007430	2.3
345	-0.828688	257.275887	0.037300	2.4
346	-0.532234	256.930396	0.007645	2.4
347	-0.524004	256.586139	0.021139	2.4
348	-0.842042	256.243109	0.018370	2.3
349	-0.640352	255.901300	0.009881	2.5
350	-0.786401	255.560703	0.011225	2.4
351	-0.389259	255.221313	0.012783	2.3
352	-0.571667	254.883122	0.008435	2.3
353	-0.751571	254.546124	0.008110	2.4
354	-0.807853	254.210311	0.015538	2.4
355	-0.688820	253.875677	0.009217	2.3
356	-0.839355	253.542215	0.029621	2.5
357	-0.721088	253.209918	0.015743	2.5
358	-0.616251	252.878781	0.005254	2.4
359	-1.041858	252.548795	0.026089	2.4
360	-0.755945	252.219956	0.009941	2.3
361	-0.578313	251.892255	0.027439	2.4
362	-1.045351	251.565688	0.026298	2.3
363	-0.863207	251.240247	0.011248	2.4
364	-0.736455	250.915926	0.015971	2.3
365	-0.918858	250.592720	0.016697	2.3
366	-0.811105	250.270621	0.028469	2.4
367	-0.498524	249.949624	0.005732	2.4
368	-0.388909	249.629723	0.004684	2.3
369	-0.845370	249.310911	0.007870	2.4
370	-0.503777	248.993182	0.019871	2.4
371	-0.759631	248.676531	0.033944	2.4
372	-0.982592	248.360952	0.025567	2.3
373	-0.769240	248.046438	0.009339	2.3
374	-0.741474	247.732984	0.009837	2.4
375	-0.625993	247.420584	0.008400	2.4
376	-0.604493	247.109233	0.034435	2.4
377	-0.992807	246.798924	0.046436	2.4
378	-0.012122	246.489652	0.000888	2.4
379	-0.876677	246.181412	0.023375	2.4
380	-0.938407	245.874197	0.013099	2.4
381	-1.043173	245.568002	0.010132	2.4
382	-0.655690	245.262822	0.005469	2.3
383	-0.184923	244.958652	0.011594	2.4
384	-0.823973	244.655485	0.021113	2.4
385	-0.611447	244.353317	0.033205	2.3
386	-0.832608	244.052142	0.010851	2.3
387	-0.645763	243.751955	0.021415	2.3
388	-0.464012	243.452750	0.004959	3.1
389	-0.346498	243.154523	0.002660	2.8
390	-0.832912	242.857268	0.011791	2.9
391	-0.772266	242.560980	0.008597	2.8
392	-0.837402	242.265654	0.010325	3.0
393	-0.865584	241.971285	0.010531	2.6
394	-0.672618	241.677868	0.006588	2.5
395	-0.943314	241.385397	0.014760	2.4
396	-1.080506	241.093869	0.035304	2.3
