1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
173	-0.752203	83.876979	0.568883	0.032514	0.9
174	-0.779952	83.447979	0.571220	0.027470	0.8
175	-0.788180	84.435583	0.565869	0.033100	0.9
176	-0.731315	83.967373	0.568393	0.025755	0.8
177	-0.811907	84.967333	0.563030	0.052860	0.8
178	-0.799524	85.967333	0.557766	0.031329	0.8
179	-0.796655	86.967333	0.552600	0.037262	0.8
180	-0.794752	87.966208	0.547534	0.035409	0.8
181	-0.761686	88.966208	0.542555	0.033626	0.8
182	-0.799346	88.497999	0.544875	0.026823	0.8
183	-0.756313	89.497998	0.539944	0.031782	0.9
184	-0.798170	89.032367	0.542229	0.023189	1.0
185	-0.765611	88.564158	0.544546	0.041341	0.9
186	-0.814683	89.555177	0.539665	0.026418	0.9
187	-0.761567	89.086967	0.541960	0.023831	1.0
188	-0.793103	88.619188	0.544273	0.015091	0.9
189	-0.771375	88.252183	0.546101	0.017610	0.9
190	-0.737732	87.836027	0.548189	0.035623	0.9
191	-0.771363	87.380039	0.550496	0.036378	0.9
192	-0.768550	86.923995	0.552822	0.053071	0.8
193	-0.768284	87.923995	0.547747	0.033694	0.9
194	-0.790658	88.923995	0.542764	0.020053	0.9
195	-0.789788	88.458124	0.545074	0.029444	0.9
196	-0.763494	88.575014	0.544492	0.028788	0.8
197	-0.778863	88.108182	0.546822	0.029287	0.9
198	-0.781282	87.639981	0.549178	0.031892	0.8
199	-0.771833	87.861941	0.548059	0.032664	0.8
200	-0.775955	87.393731	0.550426	0.034862	0.8
201	-0.777433	88.393726	0.545395	0.046299	0.8
202	-0.784612	89.393726	0.540454	0.031322	0.8
203	-0.760270	90.388433	0.535628	0.024660	0.8
204	-0.810552	90.208069	0.536497	0.035944	0.8
205	-0.775288	91.208068	0.531715	0.033682	1.0
206	-0.770139	90.739859	0.533943	0.030406	0.9
207	-0.774068	91.739837	0.529207	0.039069	0.8
208	-0.801005	92.739837	0.524554	0.046014	0.9
209	-0.755846	92.365351	0.526287	0.040427	0.8
210	-0.812261	91.897141	0.528470	0.022619	0.9
211	-0.768732	92.857444	0.524013	0.028758	0.8
212	-0.811891	93.851330	0.519478	0.026975	0.8
213	-0.788829	93.386672	0.521588	0.039049	0.8
214	-0.806275	94.375978	0.517116	0.032179	0.8
215	-0.811137	95.375978	0.512672	0.036392	0.8
216	-0.767783	94.907837	0.514743	0.040022	0.8
217	-0.761277	95.907837	0.510340	0.034477	0.8
218	-0.799881	96.907837	0.506012	0.034625	0.8
219	-0.800505	96.439628	0.508029	0.035120	0.8
220	-0.775358	95.971419	0.510063	0.052009	0.8
221	-0.785591	95.505011	0.512105	0.033246	0.8
222	-0.801657	95.449658	0.512348	0.035808	0.8
223	-0.754224	95.000703	0.514331	0.033401	0.9
224	-0.782430	94.543092	0.516368	0.046909	0.9
225	-0.781396	95.543092	0.511937	0.044921	0.8
226	-0.762888	95.074882	0.514002	0.038345	0.8
227	-0.774861	96.074882	0.509612	0.025672	0.8
228	-0.731746	95.606694	0.511658	0.027612	0.8
229	-0.780701	95.139110	0.513718	0.032035	0.8
230	-0.759456	94.670903	0.515797	0.019145	0.8
231	-0.791163	95.670817	0.511377	0.029055	0.8
232	-0.766429	95.976248	0.510042	0.022153	0.8
233	-0.774245	95.564555	0.511843	0.035247	0.8
234	-0.789920	96.171488	0.509192	0.018656	0.8
235	-0.781409	97.107427	0.505157	0.040403	0.8
236	-0.793390	98.106377	0.500920	0.034361	0.8
237	-0.735039	97.638957	0.502893	0.043311	0.8
238	-0.776745	97.199588	0.504763	0.027020	0.8
239	-0.764146	98.194909	0.500548	0.022254	0.8
240	-0.778399	99.032407	0.497055	0.044206	0.8
241	-0.786690	98.564245	0.499002	0.022884	0.8
242	-0.758693	99.557345	0.494891	0.028118	0.9
243	-0.786365	100.554013	0.490833	0.037026	0.8
244	-0.787195	100.085803	0.492731	0.026934	0.9
245	-0.777664	101.082718	0.488708	0.038970	0.8
246	-0.801341	101.994897	0.485083	0.028167	0.8
247	-0.766401	101.658017	0.486415	0.031663	0.8
248	-0.783435	102.658004	0.482482	0.034772	0.8
249	-0.781201	102.714999	0.482260	0.029284	0.8
250	-0.774288	103.714999	0.478393	0.039088	0.8
251	-0.773940	103.257029	0.480156	0.026866	0.8
252	-0.758103	102.788845	0.481972	0.037007	0.8
253	-0.771537	102.368185	0.483615	0.042793	0.9
254	-0.773146	103.368185	0.479727	0.036884	0.8
255	-0.750051	102.899975	0.481540	0.030763	0.8
256	-0.772739	102.438473	0.483340	0.033621	0.8
257	-0.763992	101.974503	0.485164	0.025686	0.8
258	-0.777585	102.969770	0.481268	0.053933	0.8
259	-0.760069	102.501576	0.483093	0.030667	0.8
260	-0.797659	103.501551	0.479213	0.032729	0.9
261	-0.799793	103.033341	0.481022	0.038085	0.8
